"Date","Price","Open","High","Low","Vol.","Change %"
"19-05-2022","2,347,578","2,234,935","2,364,123","2,231,443","","5.23%"
"18-05-2022","2,230,886","2,355,606","2,375,341","2,230,886","","-5.30%"
"17-05-2022","2,355,697","2,323,639","2,383,874","2,286,287","","1.45%"
"16-05-2022","2,321,956","2,426,877","2,426,877","2,274,176","","-4.28%"
"15-05-2022","2,425,663","2,331,510","2,432,134","2,286,279","","4.01%"
"14-05-2022","2,332,137","2,270,352","2,346,755","2,221,484","","2.74%"
"13-05-2022","2,269,890","2,247,253","2,401,157","2,227,617","","0.79%"
"12-05-2022","2,252,017","2,254,655","2,334,173","2,076,512","","0.21%"
"11-05-2022","2,247,213","2,395,862","2,475,705","2,164,876","","-6.26%"
"10-05-2022","2,397,267","2,327,850","2,522,508","2,308,158","","2.88%"
"09-05-2022","2,330,201","2,619,771","2,640,708","2,330,201","","-11.27%"
"08-05-2022","2,626,099","2,729,746","2,732,964","2,599,726","","-3.82%"
"07-05-2022","2,730,356","2,771,408","2,780,665","2,685,047","","-1.48%"
"06-05-2022","2,771,506","2,797,841","2,804,546","2,718,971","","-0.97%"
"05-05-2022","2,798,523","3,017,043","3,030,850","2,771,782","","-7.23%"
"04-05-2022","3,016,517","2,885,041","3,043,569","2,880,895","","4.54%"
"03-05-2022","2,885,487","2,947,629","2,962,226","2,870,054","","-2.11%"
"02-05-2022","2,947,774","2,943,682","2,993,025","2,913,646","","0.14%"
"01-05-2022","2,943,671","2,880,412","2,958,216","2,865,220","","2.17%"
"30-04-2022","2,881,053","2,953,501","2,966,626","2,877,198","","-2.40%"
"29-04-2022","2,951,786","3,043,816","3,056,000","2,925,496","","-3.07%"
"28-04-2022","3,045,182","3,000,398","3,089,786","2,981,837","","1.51%"
"27-04-2022","2,999,893","2,927,189","3,019,585","2,911,168","","2.48%"
"26-04-2022","2,927,260","3,093,730","3,126,093","2,897,454","","-5.43%"
"25-04-2022","3,095,276","3,017,416","3,103,764","2,934,457","","2.57%"
"24-04-2022","3,017,642","3,015,548","3,049,752","2,988,198","","0.08%"
"23-04-2022","3,015,166","3,036,767","3,055,145","3,006,265","","-0.73%"
"22-04-2022","3,037,274","3,088,065","3,113,295","3,000,590","","-1.65%"
"21-04-2022","3,088,205","3,154,092","3,270,629","3,045,946","","-2.14%"
"20-04-2022","3,155,804","3,171,973","3,216,532","3,120,033","","-0.53%"
"19-04-2022","3,172,495","3,112,223","3,187,160","3,096,182","","1.94%"
"18-04-2022","3,112,241","3,030,062","3,131,469","2,946,309","","2.68%"
"17-04-2022","3,031,000","3,081,839","3,097,645","3,020,228","","-1.70%"
"16-04-2022","3,083,355","3,095,585","3,104,685","3,052,923","","-0.40%"
"15-04-2022","3,095,585","3,045,963","3,111,658","3,036,352","","1.56%"
"14-04-2022","3,048,061","3,131,031","3,159,694","3,019,767","","-2.67%"
"13-04-2022","3,131,656","3,051,000","3,156,943","3,014,664","","2.63%"
"12-04-2022","3,051,333","2,998,019","3,093,159","2,985,337","","1.92%"
"11-04-2022","2,993,704","3,198,872","3,227,983","2,980,565","","-6.33%"
"10-04-2022","3,196,039","3,246,255","3,294,453","3,180,516","","-1.55%"
"09-04-2022","3,246,255","3,209,622","3,248,215","3,198,249","","1.13%"
"08-04-2022","3,210,113","3,299,414","3,336,276","3,197,978","","-2.66%"
"07-04-2022","3,297,681","3,276,000","3,335,218","3,248,055","","0.55%"
"06-04-2022","3,279,624","3,429,445","3,443,552","3,275,391","","-4.45%"
"05-04-2022","3,432,458","3,515,377","3,552,088","3,431,698","","-2.45%"
"04-04-2022","3,518,590","3,526,704","3,536,842","3,408,117","","-0.28%"
"03-04-2022","3,528,417","3,478,830","3,600,585","3,459,973","","1.42%"
"02-04-2022","3,478,898","3,515,493","3,581,545","3,468,875","","-0.99%"
"01-04-2022","3,513,611","3,456,499","3,547,142","3,358,375","","1.77%"
"31-03-2022","3,452,406","3,568,738","3,606,465","3,434,181","","-3.20%"
"30-03-2022","3,566,421","3,588,834","3,615,521","3,525,459","","-0.62%"
"29-03-2022","3,588,608","3,583,827","3,641,505","3,559,881","","0.21%"
"28-03-2022","3,581,121","3,572,513","3,665,106","3,560,359","","0.26%"
"27-03-2022","3,571,725","3,395,592","3,575,260","3,388,674","","5.15%"
"26-03-2022","3,396,675","3,379,933","3,416,035","3,363,176","","0.55%"
"25-03-2022","3,378,192","3,357,936","3,436,349","3,325,824","","0.61%"
"24-03-2022","3,357,850","3,282,751","3,369,283","3,260,968","","2.22%"
"23-03-2022","3,284,799","3,224,003","3,291,306","3,176,591","","1.88%"
"22-03-2022","3,224,296","3,128,373","3,306,255","3,119,147","","2.92%"
"21-03-2022","3,132,727","3,133,266","3,164,665","3,084,221","","0.07%"
"20-03-2022","3,130,510","3,205,939","3,212,465","3,110,699","","-2.36%"
"19-03-2022","3,206,242","3,172,499","3,217,781","3,156,171","","1.00%"
"18-03-2022","3,174,362","3,108,418","3,211,316","3,059,229","","2.04%"
"17-03-2022","3,110,925","3,125,785","3,146,943","3,074,907","","-0.47%"
"16-03-2022","3,125,481","2,997,179","3,179,818","2,975,703","","4.22%"
"15-03-2022","2,998,842","3,034,478","3,049,569","2,923,976","","-1.19%"
"14-03-2022","3,035,035","2,899,847","3,053,844","2,888,295","","4.56%"
"13-03-2022","2,902,620","2,979,441","3,014,335","2,886,976","","-2.64%"
"12-03-2022","2,981,225","2,972,852","3,021,097","2,970,044","","0.25%"
"11-03-2022","2,973,730","3,008,141","3,065,615","2,918,964","","-1.19%"
"10-03-2022","3,009,417","3,193,444","3,201,955","2,952,226","","-5.75%"
"09-03-2022","3,192,884","2,978,697","3,256,778","2,973,823","","7.13%"
"08-03-2022","2,980,309","2,930,721","3,026,512","2,920,531","","1.60%"
"07-03-2022","2,933,455","2,936,329","3,039,528","2,868,092","","-0.08%"
"06-03-2022","2,935,824","3,010,300","3,028,570","2,912,331","","-2.49%"
"05-03-2022","3,010,662","2,990,910","3,025,936","2,951,701","","0.76%"
"04-03-2022","2,987,815","3,220,866","3,226,746","2,949,607","","-7.27%"
"03-03-2022","3,222,229","3,320,821","3,341,833","3,176,291","","-3.00%"
"02-03-2022","3,321,966","3,369,539","3,430,155","3,282,650","","-1.32%"
"01-03-2022","3,366,468","3,250,006","3,398,157","3,230,550","","3.54%"
"28-02-2022","3,251,497","2,830,421","3,332,403","2,810,994","","14.85%"
"27-02-2022","2,831,186","2,935,920","2,990,071","2,779,941","","-3.50%"
"26-02-2022","2,933,793","2,942,429","3,008,802","2,899,167","","-0.33%"
"25-02-2022","2,943,431","2,890,883","2,982,132","2,867,337","","1.76%"
"24-02-2022","2,892,485","2,780,249","2,950,499","2,587,636","","4.12%"
"23-02-2022","2,777,904","2,856,357","2,920,457","2,766,761","","-2.63%"
"22-02-2022","2,852,960","2,757,924","2,866,872","2,717,466","","3.47%"
"21-02-2022","2,757,382","2,866,663","2,937,489","2,749,206","","-3.76%"
"20-02-2022","2,865,097","2,993,130","2,996,009","2,840,809","","-4.29%"
"19-02-2022","2,993,521","2,986,621","3,018,969","2,962,280","","0.22%"
"18-02-2022","2,987,077","3,041,809","3,072,029","2,953,638","","-1.82%"
"17-02-2022","3,042,363","3,293,302","3,310,710","3,012,896","","-7.56%"
"16-02-2022","3,291,269","3,348,661","3,348,661","3,258,366","","-1.57%"
"15-02-2022","3,343,885","3,221,837","3,371,911","3,210,304","","3.83%"
"14-02-2022","3,220,661","3,169,240","3,238,538","3,145,095","","1.56%"
"13-02-2022","3,171,198","3,191,720","3,231,091","3,167,175","","-0.70%"
"12-02-2022","3,193,498","3,206,153","3,252,304","3,156,261","","-0.35%"
"11-02-2022","3,204,778","3,284,938","3,304,484","3,178,327","","-2.48%"
"10-02-2022","3,286,308","3,319,656","3,440,198","3,253,775","","-1.01%"
"09-02-2022","3,319,898","3,292,194","3,356,008","3,226,652","","0.92%"
"08-02-2022","3,289,657","3,271,885","3,387,634","3,189,746","","0.60%"
"07-02-2022","3,270,120","3,163,273","3,318,506","3,109,597","","3.35%"
"06-02-2022","3,164,259","3,089,809","3,181,884","3,073,280","","2.33%"
"05-02-2022","3,092,232","3,102,101","3,127,524","3,059,135","","-0.28%"
"04-02-2022","3,100,796","2,785,768","3,112,078","2,765,610","","11.49%"
"03-02-2022","2,781,311","2,760,856","2,781,311","2,714,798","","0.74%"
"02-02-2022","2,760,973","2,894,867","2,903,458","2,743,617","","-4.55%"
"01-02-2022","2,892,456","2,867,804","2,934,728","2,845,252","","0.77%"
"31-01-2022","2,870,415","2,844,674","2,887,019","2,751,213","","0.94%"
"30-01-2022","2,843,820","2,862,590","2,873,679","2,803,585","","-0.69%"
"29-01-2022","2,863,528","2,829,716","2,897,740","2,800,893","","1.16%"
"28-01-2022","2,830,799","2,792,904","2,849,309","2,714,707","","1.46%"
"27-01-2022","2,789,994","2,755,282","2,798,322","2,668,826","","1.25%"
"26-01-2022","2,755,442","2,764,757","2,908,124","2,724,262","","-0.20%"
"25-01-2022","2,760,930","2,737,678","2,800,427","2,668,872","","0.94%"
"24-01-2022","2,735,309","2,696,175","2,790,906","2,467,112","","1.41%"
"23-01-2022","2,697,164","2,609,366","2,716,235","2,580,641","","3.43%"
"22-01-2022","2,607,596","2,714,401","2,733,006","2,538,830","","-3.99%"
"21-01-2022","2,716,004","3,031,310","3,072,043","2,643,134","","-10.36%"
"20-01-2022","3,029,820","3,102,518","3,232,489","3,021,713","","-2.40%"
"19-01-2022","3,104,468","3,160,773","3,170,111","3,072,254","","-1.80%"
"18-01-2022","3,161,341","3,135,557","3,177,792","3,078,119","","0.81%"
"17-01-2022","3,135,786","3,204,656","3,211,266","3,085,762","","-2.13%"
"16-01-2022","3,203,902","3,204,456","3,232,391","3,172,107","","-0.09%"
"15-01-2022","3,206,731","3,203,355","3,255,012","3,167,822","","0.12%"
"14-01-2022","3,202,934","3,147,822","3,227,547","3,101,762","","1.81%"
"13-01-2022","3,146,087","3,239,585","3,278,576","3,130,155","","-2.87%"
"12-01-2022","3,238,907","3,153,828","3,261,749","3,133,300","","2.74%"
"11-01-2022","3,152,415","3,097,547","3,179,789","3,051,920","","1.75%"
"10-01-2022","3,098,274","3,107,955","3,130,680","2,940,730","","-0.32%"
"09-01-2022","3,108,210","3,093,672","3,173,529","3,064,374","","0.47%"
"08-01-2022","3,093,797","3,084,124","3,139,544","3,011,485","","0.33%"
"07-01-2022","3,083,691","3,208,321","3,209,896","3,035,644","","-3.90%"
"06-01-2022","3,208,887","3,233,290","3,264,836","3,164,267","","-0.78%"
"05-01-2022","3,234,038","3,416,764","3,497,171","3,166,077","","-5.40%"
"04-01-2022","3,418,695","3,457,929","3,542,340","3,399,006","","-1.05%"
"03-01-2022","3,455,053","3,522,295","3,532,563","3,402,255","","-1.97%"
"02-01-2022","3,524,457","3,555,858","3,571,002","3,480,531","","-0.85%"
"01-01-2022","3,554,695","3,443,070","3,568,786","3,443,070","","3.27%"
"31-12-2021","3,442,226","3,506,500","3,600,159","3,404,496","","-1.85%"
"30-12-2021","3,507,072","3,464,869","3,563,615","3,430,785","","1.33%"
"29-12-2021","3,461,016","3,557,089","3,596,319","3,444,294","","-2.62%"
"28-12-2021","3,554,171","3,798,381","3,799,378","3,535,678","","-6.46%"
"27-12-2021","3,799,503","3,808,276","3,896,467","3,784,686","","-0.26%"
"26-12-2021","3,809,480","3,779,713","3,842,237","3,714,385","","0.71%"
"25-12-2021","3,782,666","3,807,836","3,835,213","3,765,633","","-0.66%"
"24-12-2021","3,807,890","3,814,933","3,882,390","3,780,745","","-0.04%"
"23-12-2021","3,809,598","3,667,078","3,852,340","3,618,237","","3.88%"
"22-12-2021","3,667,164","3,700,928","3,749,614","3,657,587","","-0.93%"
"21-12-2021","3,701,774","3,557,054","3,730,139","3,532,808","","4.25%"
"20-12-2021","3,550,955","3,547,472","3,589,753","3,456,055","","0.06%"
"19-12-2021","3,548,978","3,561,327","3,668,527","3,529,159","","-0.29%"
"18-12-2021","3,559,169","3,509,607","3,596,162","3,458,974","","1.42%"
"17-12-2021","3,509,315","3,628,280","3,656,147","3,461,978","","-3.28%"
"16-12-2021","3,628,305","3,732,308","3,760,124","3,621,968","","-2.77%"
"15-12-2021","3,731,555","3,677,291","3,777,599","3,556,899","","1.49%"
"14-12-2021","3,676,947","3,539,701","3,694,842","3,511,261","","3.90%"
"13-12-2021","3,538,884","3,789,493","3,799,038","3,473,572","","-6.64%"
"12-12-2021","3,790,438","3,732,005","3,841,808","3,686,429","","1.45%"
"11-12-2021","3,736,431","3,567,058","3,744,135","3,544,795","","4.72%"
"10-12-2021","3,568,133","3,593,694","3,777,654","3,558,721","","-0.92%"
"09-12-2021","3,601,253","3,805,292","3,827,770","3,577,628","","-5.33%"
"08-12-2021","3,803,951","3,814,726","3,861,976","3,675,227","","-0.29%"
"07-12-2021","3,814,895","3,805,027","3,913,448","3,774,890","","0.13%"
"06-12-2021","3,809,769","3,717,542","3,836,509","3,562,223","","2.67%"
"05-12-2021","3,710,863","3,699,235","3,735,534","3,594,121","","0.26%"
"04-12-2021","3,701,369","4,032,411","4,050,017","3,295,062","","-8.09%"
"03-12-2021","4,026,968","4,236,741","4,320,972","3,926,227","","-4.92%"
"02-12-2021","4,235,189","4,288,345","4,301,114","4,182,973","","-1.30%"
"01-12-2021","4,290,962","4,269,374","4,417,371","4,241,407","","0.30%"
"30-11-2021","4,278,062","4,336,265","4,434,174","4,204,858","","-1.33%"
"29-11-2021","4,335,655","4,299,042","4,418,369","4,258,428","","0.97%"
"28-11-2021","4,294,184","4,109,809","4,306,716","4,011,363","","4.41%"
"27-11-2021","4,112,716","4,032,980","4,148,066","4,026,354","","2.32%"
"26-11-2021","4,019,342","4,392,761","4,405,304","4,009,754","","-8.38%"
"25-11-2021","4,387,198","4,265,904","4,422,623","4,248,604","","2.86%"
"24-11-2021","4,265,046","4,284,365","4,296,831","4,164,957","","-0.43%"
"23-11-2021","4,283,495","4,186,363","4,308,201","4,141,391","","2.25%"
"22-11-2021","4,189,317","4,362,142","4,404,430","4,144,647","","-3.99%"
"21-11-2021","4,363,481","4,438,758","4,460,145","4,351,334","","-1.71%"
"20-11-2021","4,439,301","4,316,878","4,447,635","4,272,543","","2.86%"
"19-11-2021","4,315,819","4,220,609","4,329,318","4,127,660","","2.20%"
"18-11-2021","4,222,955","4,480,908","4,524,376","4,191,419","","-5.76%"
"17-11-2021","4,480,907","4,471,729","4,510,602","4,347,251","","0.16%"
"16-11-2021","4,473,941","4,734,726","4,734,726","4,359,418","","-5.38%"
"15-11-2021","4,728,176","4,870,632","4,933,638","4,725,712","","-2.85%"
"14-11-2021","4,866,747","4,786,790","4,869,971","4,728,635","","1.66%"
"13-11-2021","4,787,418","4,766,922","4,825,375","4,710,799","","0.32%"
"12-11-2021","4,772,148","4,813,536","4,864,466","4,636,110","","-0.94%"
"11-11-2021","4,817,233","4,825,080","4,886,634","4,771,064","","-0.38%"
"10-11-2021","4,835,712","4,965,499","5,124,975","4,681,378","","-2.65%"
"09-11-2021","4,967,390","4,991,999","5,064,441","4,915,679","","-0.51%"
"08-11-2021","4,992,850","4,693,865","5,010,453","4,693,865","","6.40%"
"07-11-2021","4,692,600","4,560,443","4,692,600","4,550,001","","2.93%"
"06-11-2021","4,558,890","4,522,520","4,564,507","4,457,372","","0.72%"
"05-11-2021","4,526,469","4,572,451","4,645,583","4,504,714","","-0.98%"
"04-11-2021","4,571,480","4,681,731","4,694,705","4,526,511","","-2.38%"
"03-11-2021","4,683,131","4,724,073","4,740,704","4,542,299","","-0.79%"
"02-11-2021","4,720,394","4,557,883","4,791,511","4,537,840","","3.52%"
"01-11-2021","4,559,688","4,593,542","4,677,666","4,469,522","","-0.73%"
"31-10-2021","4,593,131","4,633,549","4,674,860","4,496,402","","-0.92%"
"30-10-2021","4,635,979","4,663,900","4,668,695","4,560,722","","-0.61%"
"29-10-2021","4,664,356","4,530,959","4,721,595","4,510,587","","2.93%"
"28-10-2021","4,531,602","4,385,501","4,644,473","4,351,952","","3.36%"
"27-10-2021","4,384,421","4,516,579","4,607,446","4,355,475","","-2.89%"
"26-10-2021","4,514,989","4,736,504","4,750,450","4,488,396","","-4.67%"
"25-10-2021","4,736,248","4,563,995","4,778,754","4,549,104","","3.72%"
"24-10-2021","4,566,220","4,597,910","4,608,330","4,463,827","","-0.71%"
"23-10-2021","4,598,947","4,551,378","4,628,884","4,479,621","","1.05%"
"22-10-2021","4,550,984","4,656,457","4,770,722","4,499,034","","-2.24%"
"21-10-2021","4,655,106","4,937,223","4,985,108","4,648,251","","-5.71%"
"20-10-2021","4,937,119","4,827,433","5,008,461","4,769,603","","2.29%"
"19-10-2021","4,826,666","4,665,514","4,841,441","4,610,119","","3.39%"
"18-10-2021","4,668,384","4,616,471","4,712,586","4,526,428","","1.10%"
"17-10-2021","4,617,364","4,567,303","4,624,100","4,440,705","","1.06%"
"16-10-2021","4,569,142","4,627,257","4,676,610","4,517,858","","-1.22%"
"15-10-2021","4,625,460","4,300,737","4,720,366","4,265,040","","7.62%"
"14-10-2021","4,298,151","4,320,386","4,406,423","4,270,516","","-0.55%"
"13-10-2021","4,321,962","4,228,799","4,344,904","4,093,445","","2.19%"
"12-10-2021","4,229,402","4,333,910","4,351,326","4,104,007","","-2.38%"
"11-10-2021","4,332,446","4,106,090","4,353,640","4,093,405","","5.37%"
"10-10-2021","4,111,729","4,127,642","4,240,039","4,063,933","","-0.42%"
"09-10-2021","4,128,876","4,050,420","4,162,093","4,035,473","","1.87%"
"08-10-2021","4,053,079","4,024,341","4,200,561","4,020,337","","0.72%"
"07-10-2021","4,024,207","4,135,829","4,135,829","4,001,331","","-2.72%"
"06-10-2021","4,136,755","3,836,921","4,153,351","3,774,366","","7.74%"
"05-10-2021","3,839,725","3,670,641","3,867,255","3,658,121","","4.57%"
"04-10-2021","3,671,913","3,573,937","3,686,625","3,494,262","","2.76%"
"03-10-2021","3,573,316","3,534,396","3,643,493","3,497,450","","1.07%"
"02-10-2021","3,535,509","3,569,663","3,578,960","3,517,956","","-0.95%"
"01-10-2021","3,569,369","3,249,850","3,589,739","3,210,982","","9.90%"
"30-09-2021","3,247,950","3,087,541","3,270,214","3,078,107","","5.16%"
"29-09-2021","3,088,523","3,043,211","3,157,542","3,028,870","","1.57%"
"28-09-2021","3,040,711","3,111,007","3,155,919","3,035,642","","-2.44%"
"27-09-2021","3,116,828","3,184,203","3,269,063","3,111,063","","-2.17%"
"26-09-2021","3,186,075","3,150,578","3,238,637","3,009,778","","1.16%"
"25-09-2021","3,149,548","3,159,788","3,170,015","3,078,395","","-0.32%"
"24-09-2021","3,159,518","3,312,191","3,321,731","3,015,763","","-4.62%"
"23-09-2021","3,312,715","3,216,784","3,317,071","3,182,653","","2.95%"
"22-09-2021","3,217,907","3,007,973","3,245,064","2,994,363","","7.25%"
"21-09-2021","3,000,244","3,168,539","3,210,324","2,924,081","","-4.99%"
"20-09-2021","3,157,976","3,482,239","3,485,342","3,133,889","","-9.24%"
"19-09-2021","3,479,439","3,556,639","3,559,263","3,451,401","","-2.17%"
"18-09-2021","3,556,709","3,481,783","3,590,468","3,467,286","","2.14%"
"17-09-2021","3,482,304","3,514,291","3,536,406","3,446,155","","-0.90%"
"16-09-2021","3,513,997","3,534,530","3,560,074","3,461,370","","-0.65%"
"15-09-2021","3,536,974","3,467,143","3,558,857","3,443,408","","2.03%"
"14-09-2021","3,466,666","3,305,373","3,479,353","3,288,155","","4.91%"
"13-09-2021","3,304,332","3,384,734","3,434,086","3,208,815","","-2.44%"
"12-09-2021","3,387,040","3,320,366","3,409,823","3,290,226","","2.01%"
"11-09-2021","3,320,217","3,296,975","3,380,117","3,289,935","","0.66%"
"10-09-2021","3,298,553","3,411,884","3,459,508","3,255,823","","-3.27%"
"09-09-2021","3,410,094","3,397,827","3,479,849","3,356,100","","0.33%"
"08-09-2021","3,398,866","3,437,880","3,472,128","3,276,425","","-1.05%"
"07-09-2021","3,434,777","3,848,765","3,865,223","3,166,196","","-10.71%"
"06-09-2021","3,846,650","3,777,708","3,852,891","3,726,169","","1.83%"
"05-09-2021","3,777,596","3,643,499","3,786,333","3,613,353","","3.69%"
"04-09-2021","3,643,149","3,649,172","3,688,466","3,613,426","","-0.18%"
"03-09-2021","3,649,551","3,597,578","3,718,624","3,532,216","","1.35%"
"02-09-2021","3,601,060","3,561,019","3,676,664","3,547,603","","1.05%"
"01-09-2021","3,563,617","3,437,523","3,571,672","3,396,712","","3.60%"
"31-08-2021","3,439,921","3,439,827","3,515,835","3,412,295","","-0.20%"
"30-08-2021","3,446,728","3,614,111","3,624,068","3,435,662","","-4.69%"
"29-08-2021","3,616,513","3,592,062","3,659,668","3,513,591","","0.72%"
"28-08-2021","3,590,656","3,604,249","3,620,467","3,559,854","","-0.33%"
"27-08-2021","3,602,477","3,473,499","3,606,504","3,438,643","","3.59%"
"26-08-2021","3,477,701","3,629,212","3,657,795","3,439,256","","-4.18%"
"25-08-2021","3,629,417","3,534,260","3,648,762","3,500,707","","2.60%"
"24-08-2021","3,537,453","3,666,710","3,697,286","3,530,039","","-3.63%"
"23-08-2021","3,670,871","3,661,715","3,746,476","3,634,914","","0.23%"
"22-08-2021","3,662,485","3,630,973","3,677,546","3,579,899","","0.81%"
"21-08-2021","3,632,943","3,667,239","3,695,263","3,589,079","","-0.90%"
"20-08-2021","3,665,813","3,478,039","3,667,702","3,470,160","","5.42%"
"19-08-2021","3,477,502","3,324,222","3,495,375","3,270,325","","4.66%"
"18-08-2021","3,322,787","3,323,184","3,416,390","3,295,312","","-0.02%"
"17-08-2021","3,323,336","3,402,927","3,501,417","3,309,443","","-2.45%"
"16-08-2021","3,406,842","3,490,418","3,563,617","3,389,096","","-2.39%"
"15-08-2021","3,490,139","3,494,902","3,514,456","3,384,774","","-0.11%"
"14-08-2021","3,494,117","3,548,360","3,569,599","3,424,935","","-1.53%"
"13-08-2021","3,548,244","3,300,838","3,550,270","3,288,482","","7.54%"
"12-08-2021","3,299,423","3,373,739","3,429,384","3,258,389","","-2.25%"
"11-08-2021","3,375,325","3,392,836","3,470,027","3,375,325","","-0.53%"
"10-08-2021","3,393,169","3,448,303","3,474,923","3,329,552","","-1.73%"
"09-08-2021","3,452,790","3,252,782","3,459,893","3,178,803","","6.21%"
"08-08-2021","3,251,059","3,307,729","3,360,053","3,214,407","","-1.71%"
"07-08-2021","3,307,456","3,174,358","3,316,014","3,155,744","","4.12%"
"06-08-2021","3,176,520","3,027,221","3,217,097","2,959,525","","4.95%"
"05-08-2021","3,026,789","2,948,261","3,063,496","2,774,897","","2.66%"
"04-08-2021","2,948,335","2,835,717","2,965,058","2,787,838","","4.18%"
"03-08-2021","2,830,121","2,909,072","2,956,381","2,796,850","","-2.81%"
"02-08-2021","2,912,071","2,962,657","3,008,843","2,878,651","","-1.99%"
"01-08-2021","2,971,047","3,082,417","3,164,549","2,939,884","","-3.72%"
"31-07-2021","3,085,944","3,136,815","3,136,870","3,052,494","","-1.77%"
"30-07-2021","3,141,539","2,974,010","3,141,539","2,853,995","","5.82%"
"29-07-2021","2,968,835","2,973,587","3,018,524","2,926,398","","-0.25%"
"28-07-2021","2,976,345","2,938,791","3,035,807","2,895,186","","1.30%"
"27-07-2021","2,938,017","2,770,404","2,938,017","2,707,873","","5.95%"
"26-07-2021","2,773,056","2,634,642","3,009,035","2,624,276","","5.36%"
"25-07-2021","2,631,931","2,560,727","2,633,280","2,522,349","","4.55%"
"24-07-2021","2,517,402","2,501,100","2,525,723","2,487,341","","0.74%"
"23-07-2021","2,498,913","2,404,464","2,498,913","2,385,184","","3.92%"
"22-07-2021","2,404,607","2,392,569","2,419,058","2,363,136","","0.59%"
"21-07-2021","2,390,425","2,221,538","2,442,516","2,201,189","","7.66%"
"20-07-2021","2,220,419","2,308,288","2,323,148","2,186,212","","-3.72%"
"19-07-2021","2,306,247","2,370,360","2,384,416","2,288,144","","-2.71%"
"18-07-2021","2,370,535","2,350,215","2,417,358","2,329,913","","0.88%"
"17-07-2021","2,349,843","2,341,226","2,381,114","2,328,121","","0.26%"
"16-07-2021","2,343,821","2,373,076","2,405,273","2,318,171","","-1.01%"
"15-07-2021","2,367,618","2,444,272","2,470,551","2,324,577","","-3.12%"
"14-07-2021","2,443,825","2,443,382","2,463,071","2,358,974","","0.09%"
"13-07-2021","2,441,624","2,467,012","2,481,284","2,407,316","","-1.17%"
"12-07-2021","2,470,421","2,551,031","2,578,866","2,435,881","","-3.09%"
"11-07-2021","2,549,301","2,496,227","2,575,609","2,481,801","","2.15%"
"10-07-2021","2,495,612","2,517,546","2,549,116","2,463,447","","-0.96%"
"09-07-2021","2,519,692","2,455,820","2,539,847","2,414,296","","2.60%"
"08-07-2021","2,455,820","2,526,745","2,535,278","2,404,767","","-3.03%"
"07-07-2021","2,532,458","2,558,653","2,615,574","2,529,019","","-1.02%"
"06-07-2021","2,558,491","2,503,318","2,612,127","2,502,259","","2.23%"
"05-07-2021","2,502,714","2,625,760","2,625,760","2,466,767","","-4.88%"
"04-07-2021","2,631,093","2,588,939","2,679,860","2,588,939","","1.63%"
"03-07-2021","2,588,939","2,519,865","2,598,887","2,486,402","","2.68%"
"02-07-2021","2,521,421","2,497,125","2,529,241","2,446,267","","0.92%"
"01-07-2021","2,498,375","2,604,800","2,604,800","2,449,246","","-4.11%"
"30-06-2021","2,605,588","2,666,037","2,681,412","2,533,149","","-2.22%"
"29-06-2021","2,664,759","2,560,698","2,718,866","2,542,928","","4.21%"
"28-06-2021","2,557,036","2,572,773","2,614,246","2,521,043","","-0.47%"
"27-06-2021","2,569,005","2,391,126","2,571,526","2,378,128","","7.72%"
"26-06-2021","2,384,783","2,345,021","2,423,282","2,242,323","","1.61%"
"25-06-2021","2,346,951","2,571,516","2,631,267","2,326,827","","-8.77%"
"24-06-2021","2,572,436","2,492,594","2,614,066","2,400,616","","3.12%"
"23-06-2021","2,494,511","2,415,307","2,576,479","2,358,532","","3.37%"
"22-06-2021","2,413,293","2,350,989","2,468,147","2,146,074","","2.63%"
"21-06-2021","2,351,400","2,638,577","2,645,832","2,318,925","","-11.02%"
"20-06-2021","2,642,638","2,631,644","2,675,525","2,473,328","","0.26%"
"19-06-2021","2,635,807","2,649,595","2,694,639","2,582,747","","-0.46%"
"18-06-2021","2,648,011","2,825,658","2,831,283","2,607,925","","-6.18%"
"17-06-2021","2,822,293","2,808,880","2,928,258","2,778,494","","0.48%"
"16-06-2021","2,808,885","2,944,307","2,971,643","2,796,284","","-4.63%"
"15-06-2021","2,945,278","2,965,317","3,031,029","2,904,349","","-0.71%"
"14-06-2021","2,966,356","2,858,240","2,999,071","2,839,524","","3.55%"
"13-06-2021","2,864,636","2,597,816","2,879,482","2,550,906","","10.15%"
"12-06-2021","2,600,598","2,732,686","2,741,991","2,543,260","","-4.80%"
"11-06-2021","2,731,845","2,682,922","2,750,145","2,629,189","","2.02%"
"10-06-2021","2,677,750","2,728,036","2,801,883","2,617,811","","-1.67%"
"09-06-2021","2,723,199","2,434,862","2,738,179","2,365,494","","11.66%"
"08-06-2021","2,438,934","2,439,461","2,479,373","2,273,192","","-0.24%"
"07-06-2021","2,444,694","2,607,059","2,677,959","2,432,070","","-6.38%"
"06-06-2021","2,611,294","2,587,788","2,654,521","2,569,359","","0.88%"
"05-06-2021","2,588,446","2,684,177","2,760,626","2,538,871","","-3.60%"
"04-06-2021","2,684,975","2,867,120","2,867,120","2,602,094","","-6.18%"
"03-06-2021","2,861,723","2,739,907","2,875,858","2,713,081","","4.47%"
"02-06-2021","2,739,283","2,673,029","2,787,298","2,621,490","","2.51%"
"01-06-2021","2,672,281","2,704,762","2,743,421","2,604,603","","-1.18%"
